schoolwebsite,domain,schdomain,ukdomain,urns,dqi
www.gosforth.cumbria.sch.uk,gosforth.cumbria.sch.uk,1,1,{112294},0
www.gosh.camden.sch.uk,gosh.camden.sch.uk,1,1,{100060},0
www.gotherington.gloucs.sch.uk,gotherington.gloucs.sch.uk,1,1,"{137207,115524}",0
www.goxhillschool.com,goxhillschool.com,0,0,{117737},0
www.gp4success.org.uk/schools/hillyfields.htm,gp4success.org.uk,0,1,{118460},0
www.gp4success.org.uk/schools/richmond.htm,gp4success.org.uk,0,1,{118426},0
www.gps.rac.sch.uk,gps.rac.sch.uk,1,1,{111647},0
www.graceacademy.org.uk/coventry/,graceacademy.org.uk,0,1,{135335},0
www.graceacademy.org.uk/solihull/,graceacademy.org.uk,0,1,{129342},0
www.grafham-grange.co.uk/,grafham-grange.co.uk,0,1,{125482},0
www.grampianprimary.org.uk,grampianprimary.org.uk,0,1,{112776},0
www.grampound-road.ik.org,grampound-road.ik.org,0,0,{112009},0
www.grampoundwithcreed.ik.org,grampoundwithcreed.ik.org,0,0,"{140467,112013}",0
www.granardprimary.co.uk/,granardprimary.co.uk,0,1,{101028},0
www.granby.leicester.sch.uk,granby.leicester.sch.uk,1,1,{120006},0
www.grandavenue.kingston.sch.uk/,grandavenue.kingston.sch.uk,1,1,{102580},0
www.grange.derbyshire.sch.uk/,grange.derbyshire.sch.uk,1,1,{112584},0
www.grange.dorset.sch.uk/,grange.dorset.sch.uk,1,1,{113874},0
www.grangefield.stockton.sch.uk/,grangefield.stockton.sch.uk,1,1,{111753},0
www.grange.herts.sch.uk/,grange.herts.sch.uk,1,1,"{117122,144904}",0
www.grange-infants.staffs.sch.uk,grange-infants.staffs.sch.uk,1,1,{124035},0
www.grangejun.ik.org/,grangejun.ik.org,0,0,{115493},0
www.grangejunior.com,grangejunior.com,0,0,{116170},0
www.grangejunior.ik.org,grangejunior.ik.org,0,0,{116147},0
www.grangelaneinfants.co.uk,grangelaneinfants.co.uk,0,1,{117760},0
www.grange.org.uk/,grange.org.uk,0,1,{111471},0
www.grange.outwood.com/,grange.outwood.com,0,0,{135961},0
www.grange.oxon.sch.uk,grange.oxon.sch.uk,1,1,{122997},0
www.grangepark.enfield.sch.uk/,grangepark.enfield.sch.uk,1,1,{102016},0
www.grange.suffolk.sch.uk/,grange.suffolk.sch.uk,1,1,{124630},0
www.grange.surrey.sch.uk,grange.surrey.sch.uk,1,1,{125037},0
www.grangevalley.st-helens.sch.uk,grangevalley.st-helens.sch.uk,1,1,{104774},0
www.grangewoodschool.co.uk,grangewoodschool.co.uk,0,1,"{138157,102467}",0
www.grantham-churchva.lincs.sch.uk,grantham-churchva.lincs.sch.uk,1,1,{120715},0
www.granville.derbyshire.sch.uk/,granville.derbyshire.sch.uk,1,1,"{112940,144533}",0
www.grappenhallheys.co.uk,grappenhallheys.co.uk,0,1,{132768},0
www.grassington.n-yorks.sch.uk/,grassington.n-yorks.sch.uk,1,1,{121563},0
www.grateley.hants.sch.uk,grateley.hants.sch.uk,1,1,{115897},0
www.graveley.herts.sch.uk/,graveley.herts.sch.uk,1,1,{117395},0
www.gravelhillschool.co.uk,gravelhillschool.co.uk,0,1,{101407},0
www.graveney.org/,graveney.org,0,0,{137005},0
www.gravesendgrammar.kent.sch.uk,gravesendgrammar.kent.sch.uk,1,1,{118936},0
www.grayrigg.cumbria.sch.uk,grayrigg.cumbria.sch.uk,1,1,{112320},0
www.graysconvent.thurrock.sch.uk/,graysconvent.thurrock.sch.uk,1,1,{115239},0
www.gre.ac.uk/,gre.ac.uk,0,1,{133876},0
www.greasleybeauvaledhlawrence.notts.sch.uk,greasleybeauvaledhlawrence.notts.sch.uk,1,1,{122572},0
www.greasleybeauvale.notts.sch.uk/,greasleybeauvale.notts.sch.uk,1,1,{122573},0
www.greatabington.school/,greatabington.school,0,0,{110611},0
www.greatbaddow.com,greatbaddow.com,0,0,{115223},0
www.greatbardfieldprimaryschool.co.uk,greatbardfieldprimaryschool.co.uk,0,1,{114835},0
www.greatbarr-pri.bham.sch.uk,greatbarr-pri.bham.sch.uk,1,1,{103377},0
www.greatbarrschool.org.uk/,greatbarrschool.org.uk,0,1,"{143435,103550}",0
www.greatbentley.essex.sch.uk,greatbentley.essex.sch.uk,1,1,{114736},0
www.greatberry.co.uk/,greatberry.co.uk,0,1,"{114908,137226}",0
www.greatchesterford.essex.sch.uk,greatchesterford.essex.sch.uk,1,1,"{115190,137516}",0
www.greatcreaton.com,greatcreaton.com,0,0,{121820},0
www.greatcrosbycatholicprimary.org.uk/,greatcrosbycatholicprimary.org.uk,0,1,{104926},0
www.greatdalbyprimaryschool.co.uk,greatdalbyprimaryschool.co.uk,0,1,"{119911,139342}",0
www.greatharwood.lancs.sch.uk,greatharwood.lancs.sch.uk,1,1,{119162},0
www.greatheathacademy.attrust.org.uk/,greatheathacademy.attrust.org.uk,0,1,{142027},0
www.greatheath.suffolk.sch.uk,greatheath.suffolk.sch.uk,1,1,{124562},0
www.greathucklow.derbyshire.sch.uk/,greathucklow.derbyshire.sch.uk,1,1,{112819},0
www.greatmalvernprimary.com/,greatmalvernprimary.com,0,0,"{116709,136984}",0
www.greatmissenden.ik.org,greatmissenden.ik.org,0,0,{110427},0
www.greatoaks.southampton.sch.uk,greatoaks.southampton.sch.uk,1,1,"{116621,144205}",0
www.greatorton.cumbria.sch.uk,greatorton.cumbria.sch.uk,1,1,{112110},0
www.greatsampford.essex.sch.uk,greatsampford.essex.sch.uk,1,1,{114970},0
www.greatsankey.org,greatsankey.org,0,0,"{111434,139152}",0
www.greatsmeaton.n-yorks.sch.uk/,greatsmeaton.n-yorks.sch.uk,1,1,{121297},0
www.greatsmeatonschool.co.uk,greatsmeatonschool.co.uk,0,1,{137348},0
www.greatsteeping.org.uk,greatsteeping.org.uk,0,1,{120451},0
www.greattorrington.devon.sch.uk,greattorrington.devon.sch.uk,1,1,{113510},0
www.greatwaldingfield.suffolk.sch.uk,greatwaldingfield.suffolk.sch.uk,1,1,{124699},0
www.greatwaltham.essex.sch.uk,greatwaltham.essex.sch.uk,1,1,{115114},0
