domain,schdomain,ukdomain,county,urns
canarywharfcollege.co.uk,0,1,,"{137016,141039}"
canburyschool.co.uk,0,1,,{102620}
candi.ac.uk,0,1,,{130409}
candlebylane.co.uk,0,1,,{138353}
canewdonprimary.com,0,0,,{115091}
canewdonstnicholasfederation.co.uk,0,1,,{115090}
canford.com,0,0,,{113922}
canklowwoods.rotherham.sch.uk,1,1,rotherham,{140109}
cannbridgeschool.co.uk,0,1,,{113645}
cannhall-essex.frogprimary.com,0,0,,{138911}
cannhall.essex.sch.uk,1,1,essex,{114768}
canning.newcastle.sch.uk,1,1,newcastle,{108461}
cannington.ac.uk,0,1,,{130807}
canningtonprimaryschool.ik.org,0,0,,{123786}
cannockchasehigh.com,0,0,,{137384}
cannockchase-high.staffs.sch.uk,1,1,staffs,{124466}
cannonlaneprimary.org,0,0,,{102204}
cannonpark.coventry.sch.uk,1,1,coventry,{103667}
canonbarnett.towerhamlets.sch.uk,1,1,towerhamlets,{100893}
canonburrows.co.uk,0,1,,{106249}
canonburyprimaryschool.co.uk,0,1,,{131773}
canonjohnson.co.uk,0,1,,{106243}
canonlee.org.uk,0,1,,{121662}
canonpalmer.com,0,0,,{102862}
canonpeterhall.co.uk,0,1,,{140991}
canon-popham.vox-cms.com,0,0,,{106768}
canonpyon.hmfa.org.uk,0,1,,"{116790,139308}"
canonsharples.wigan.sch.uk,1,1,wigan,{133781}
canons.harrow.sch.uk,1,1,harrow,"{102237,137199}"
canon-slade.bolton.sch.uk,1,1,bolton,"{105267,144044}"
cansfield.wigan.sch.uk,1,1,wigan,{106521}
cantell.co.uk,0,1,,{116469}
canterbury.ac.uk,0,1,,{133806}
canterburycc.co.uk,0,1,,{132815}
canterburycross.org.uk,0,1,,"{143942,103177}"
canterbury.kent.sch.uk,1,1,kent,"{118893,136344,136302}"
canterbury-road.kent.sch.uk,1,1,kent,{118354}
cantley.norfolk.sch.uk,1,1,norfolk,{120797}
cantrell.nottingham.sch.uk,1,1,nottingham,{122413}
canveyislandinfantschool.co.uk,0,1,,{114980}
canveyjuniorschool.co.uk,0,1,,{114822}
cape.cornwall.sch.uk,1,1,cornwall,{112063}
capelles.sch.gg,0,0,,{134335}
